Week,Date,Road,Home
1,2017-09-10,ATL,@CHI
1,2017-09-10,IND,@LAR
1,2017-09-07,KC,@NE
1,2017-09-11,LAC,@DEN
1,2017-09-11,NO,@MIN
1,2017-09-10,NYG,@DAL
1,2017-09-10,OAK,@TEN
1,2017-09-10,PHI,@WAS
1,2017-09-10,PIT,@CLE
1,2017-09-10,SEA,@GB
1,2017-09-10,ARI,@DET
1,2017-09-10,BAL,@CIN
1,2017-09-10,CAR,@SF
1,2017-09-10,JAC,@HOU
1,2017-09-10,NYJ,@BUF
2,2017-09-17,BUF,@CAR
2,2017-09-17,CHI,@TB
2,2017-09-17,DAL,@DEN
2,2017-09-18,DET,@NYG
2,2017-09-14,HOU,@CIN
2,2017-09-17,MIA,@LAC
2,2017-09-17,MIN,@PIT
2,2017-09-17,NE,@NO
2,2017-09-17,PHI,@KC
2,2017-09-17,TEN,@JAC
2,2017-09-17,WAS,@LAR
2,2017-09-17,ARI,@IND
2,2017-09-17,CLE,@BAL
2,2017-09-17,GB,@ATL
2,2017-09-17,NYJ,@OAK
2,2017-09-17,SF,@SEA
3,2017-09-24,ATL,@DET
3,2017-09-25,DAL,@ARI
3,2017-09-24,DEN,@BUF
3,2017-09-24,HOU,@NE
3,2017-09-24,KC,@LAC
3,2017-09-21,LAR,@SF
3,2017-09-24,MIA,@NYJ
3,2017-09-24,NO,@CAR
3,2017-09-24,NYG,@PHI
3,2017-09-24,OAK,@WAS
3,2017-09-24,PIT,@CHI
3,2017-09-24,SEA,@TEN
3,2017-09-24,BAL,@JAC
3,2017-09-24,CIN,@GB
3,2017-09-24,CLE,@IND
3,2017-09-24,TB,@MIN
4,2017-10-01,BUF,@ATL
4,2017-09-28,CHI,@GB
4,2017-10-01,DET,@MIN
4,2017-10-01,IND,@SEA
4,2017-10-01,LAR,@DAL
4,2017-10-01,NO,@MIA
4,2017-10-01,NYG,@TB
4,2017-10-01,OAK,@DEN
4,2017-10-01,PHI,@LAC
4,2017-10-01,PIT,@BAL
4,2017-10-01,TEN,@HOU
4,2017-10-02,WAS,@KC
4,2017-10-01,CAR,@NE
4,2017-10-01,CIN,@CLE
4,2017-10-01,JAC,@NYJ
4,2017-10-01,SF,@ARI
5,2017-10-08,BUF,@CIN
5,2017-10-08,KC,@HOU
5,2017-10-08,LAC,@NYG
5,2017-10-09,MIN,@CHI
5,2017-10-05,NE,@TB
5,2017-10-08,SEA,@LAR
5,2017-10-08,TEN,@MIA
5,2017-10-08,ARI,@PHI
5,2017-10-08,BAL,@OAK
5,2017-10-08,CAR,@DET
5,2017-10-08,GB,@DAL
5,2017-10-08,JAC,@PIT
5,2017-10-08,NYJ,@CLE
5,2017-10-08,SF,@IND
6,2017-10-15,CHI,@BAL
6,2017-10-15,DET,@NO
6,2017-10-16,IND,@TEN
6,2017-10-15,LAC,@OAK
6,2017-10-15,LAR,@JAC
6,2017-10-15,MIA,@ATL
6,2017-10-15,NE,@NYJ
6,2017-10-15,NYG,@DEN
6,2017-10-12,PHI,@CAR
6,2017-10-15,PIT,@KC
6,2017-10-15,CLE,@HOU
6,2017-10-15,GB,@MIN
6,2017-10-15,SF,@WAS
6,2017-10-15,TB,@ARI
7,2017-10-22,ATL,@NE
7,2017-10-22,DAL,@SF
7,2017-10-22,DEN,@LAC
7,2017-10-19,KC,@OAK
7,2017-10-22,NO,@GB
7,2017-10-22,SEA,@NYG
7,2017-10-22,TEN,@CLE
7,2017-10-23,WAS,@PHI
7,2017-10-22,ARI,@LAR
7,2017-10-22,BAL,@MIN
7,2017-10-22,CAR,@CHI
7,2017-10-22,CIN,@PIT
7,2017-10-22,JAC,@IND
7,2017-10-22,NYJ,@MIA
7,2017-10-22,TB,@BUF
8,2017-10-29,ATL,@NYJ
8,2017-10-29,CHI,@NO
8,2017-10-29,DAL,@WAS
8,2017-10-30,DEN,@KC
8,2017-10-29,HOU,@SEA
8,2017-10-29,IND,@CIN
8,2017-10-29,LAC,@NE
8,2017-10-26,MIA,@BAL
8,2017-10-29,MIN,@CLE
8,2017-10-29,OAK,@BUF
8,2017-10-29,PIT,@DET
8,2017-10-29,CAR,@TB
8,2017-10-29,SF,@PHI
9,2017-11-05,ATL,@CAR
9,2017-11-02,BUF,@NYJ
9,2017-11-05,DEN,@PHI
9,2017-11-06,DET,@GB
9,2017-11-05,IND,@HOU
9,2017-11-05,KC,@DAL
9,2017-11-05,LAR,@NYG
9,2017-11-05,OAK,@MIA
9,2017-11-05,WAS,@SEA
9,2017-11-05,ARI,@SF
9,2017-11-05,BAL,@TEN
9,2017-11-05,CIN,@JAC
9,2017-11-05,TB,@NO
10,2017-11-12,DAL,@ATL
10,2017-11-12,HOU,@LAR
10,2017-11-12,LAC,@JAC
10,2017-11-13,MIA,@CAR
10,2017-11-12,MIN,@WAS
10,2017-11-12,NE,@DEN
10,2017-11-12,NO,@BUF
10,2017-11-12,NYG,@SF
10,2017-11-12,PIT,@IND
10,2017-11-09,SEA,@ARI
10,2017-11-12,CIN,@TEN
10,2017-11-12,CLE,@DET
10,2017-11-12,GB,@CHI
10,2017-11-12,NYJ,@TB
11,2017-11-20,ATL,@SEA
11,2017-11-19,BUF,@LAC
11,2017-11-19,DET,@CHI
11,2017-11-19,KC,@NYG
11,2017-11-19,LAR,@MIN
11,2017-11-19,NE,@OAK
11,2017-11-19,PHI,@DAL
11,2017-11-16,TEN,@PIT
11,2017-11-19,WAS,@NO
11,2017-11-19,ARI,@HOU
11,2017-11-19,BAL,@GB
11,2017-11-19,CIN,@DEN
11,2017-11-19,JAC,@CLE
11,2017-11-19,TB,@MIA
12,2017-11-26,BUF,@KC
12,2017-11-26,CHI,@PHI
12,2017-11-26,DEN,@OAK
12,2017-11-27,HOU,@BAL
12,2017-11-23,LAC,@DAL
12,2017-11-26,MIA,@NE
12,2017-11-23,MIN,@DET
12,2017-11-26,NO,@LAR
12,2017-11-23,NYG,@WAS
12,2017-11-26,SEA,@SF
12,2017-11-26,TEN,@IND
12,2017-11-26,CAR,@NYJ
12,2017-11-26,CLE,@CIN
12,2017-11-26,GB,@PIT
12,2017-11-26,JAC,@ARI
12,2017-11-26,TB,@ATL
13,2017-12-03,DEN,@MIA
13,2017-12-03,DET,@BAL
13,2017-12-03,HOU,@TEN
13,2017-12-03,IND,@JAC
13,2017-12-03,KC,@NYJ
13,2017-12-03,LAR,@ARI
13,2017-12-03,MIN,@ATL
13,2017-12-03,NE,@BUF
13,2017-12-03,NYG,@OAK
13,2017-12-03,PHI,@SEA
13,2017-12-04,PIT,@CIN
13,2017-11-30,WAS,@DAL
13,2017-12-03,CAR,@NO
13,2017-12-03,CLE,@LAC
13,2017-12-03,SF,@CHI
13,2017-12-03,TB,@GB
14,2017-12-10,CHI,@CIN
14,2017-12-10,DAL,@NYG
14,2017-12-10,DET,@TB
14,2017-12-10,IND,@BUF
14,2017-12-10,MIN,@CAR
14,2017-12-11,NE,@MIA
14,2017-12-07,NO,@ATL
14,2017-12-10,OAK,@KC
14,2017-12-10,PHI,@LAR
14,2017-12-10,SEA,@JAC
14,2017-12-10,TEN,@ARI
14,2017-12-10,WAS,@LAC
14,2017-12-10,BAL,@PIT
14,2017-12-10,GB,@CLE
14,2017-12-10,NYJ,@DEN
14,2017-12-10,SF,@HOU
15,2017-12-18,ATL,@TB
15,2017-12-16,CHI,@DET
15,2017-12-17,DAL,@OAK
15,2017-12-14,DEN,@IND
15,2017-12-17,HOU,@JAC
15,2017-12-16,LAC,@KC
15,2017-12-17,LAR,@SEA
15,2017-12-17,MIA,@BUF
15,2017-12-17,NE,@PIT
15,2017-12-17,PHI,@NYG
15,2017-12-17,TEN,@SF
15,2017-12-17,ARI,@WAS
15,2017-12-17,BAL,@CLE
15,2017-12-17,CIN,@MIN
15,2017-12-17,GB,@CAR
15,2017-12-17,NYJ,@NO
16,2017-12-24,ATL,@NO
16,2017-12-24,BUF,@NE
16,2017-12-24,DEN,@WAS
16,2017-12-24,DET,@CIN
16,2017-12-23,IND,@BAL
16,2017-12-24,LAC,@NYJ
16,2017-12-24,LAR,@TEN
16,2017-12-24,MIA,@KC
16,2017-12-23,MIN,@GB
16,2017-12-24,NYG,@ARI
16,2017-12-25,OAK,@PHI
16,2017-12-25,PIT,@HOU
16,2017-12-24,SEA,@DAL
16,2017-12-24,CLE,@CHI
16,2017-12-24,JAC,@SF
16,2017-12-24,TB,@CAR
17,2017-12-31,BUF,@MIA
17,2017-12-31,CHI,@MIN
17,2017-12-31,DAL,@PHI
17,2017-12-31,HOU,@IND
17,2017-12-31,KC,@DEN
17,2017-12-31,NO,@TB
17,2017-12-31,OAK,@LAC
17,2017-12-31,WAS,@NYG
17,2017-12-31,ARI,@SEA
17,2017-12-31,CAR,@ATL
17,2017-12-31,CIN,@BAL
17,2017-12-31,CLE,@PIT
17,2017-12-31,GB,@DET
17,2017-12-31,JAC,@TEN
17,2017-12-31,NYJ,@NE
17,2017-12-31,SF,@LAR
