Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20180906_ATL@PHI,20180906,ATL,27:50,16,4,9,3,4-15,0-1,299,65,4.6,74,18,4.1,225,21-43,5.2,4-26,15-135,1,1,0,0,1,1-0,1,6-42.8,11,2-11,0-0,1-0,2/3,0/1,2/2,1-5,1-4,0
20180906_ATL@PHI,20180906,PHI,32:10,18,7,6,5,8-16,0-0,232,64,3.6,113,27,4.2,119,20-35,3.4,2-13,11-101,2,2,0,0,2,2-1,1,6-47.0,72,4-29,2-43,1-0,2/2,1/1,1/1,2-3,1-2,0
20180909_BUF@BAL,20180909,BUF,24:46,10,3,5,2,2-15,0-1,153,61,2.5,83,22,3.8,70,11-33,2.1,6-28,10-100,0,0,0,0,2,1-0,2,8-42.9,184,3-19,5-165,0-0,1/2,0/0,1/2,0-1,0-1,0
20180909_BUF@BAL,20180909,BAL,35:14,26,11,13,2,6-14,0-0,369,74,5.0,117,34,3.4,252,26-38,6.6,2-8,9-78,6,3,3,0,1,4-1,0,5-47.6,78,6-54,1-24,2-0,7/7,5/5,2/2,6-6,5-5,0
20180909_PIT@CLE,20180909,PIT,35:12,25,7,17,1,7-15,0-0,472,80,5.9,159,35,4.5,313,23-41,7.6,4-22,12-116,3,2,1,0,6,3-3,3,7-37.1,125,5-56,3-69,1-0,3/4,3/3,0/1,2-3,2-2,0
20180909_PIT@CLE,20180909,CLE,34:48,22,10,6,6,5-18,0-1,327,85,3.8,177,38,4.7,150,15-40,3.8,7-47,11-87,3,2,1,0,1,1-0,1,12-37.2,61,1-15,3-46,3-0,3/4,3/3,0/1,2-3,1-1,0
20180909_CIN@IND,20180909,CIN,27:12,19,5,11,3,4-8,0-0,330,50,6.6,101,20,5.1,229,21-28,8.2,2-14,8-94,4,1,2,1,2,2-1,1,2-48.0,41,1--1,2-42,1-0,6/6,4/4,2/2,2-2,2-2,0
20180909_CIN@IND,20180909,IND,32:48,24,4,17,3,11-17,0-0,380,77,4.9,75,22,3.4,305,39-53,5.8,2-14,7-91,2,0,2,0,2,1-1,1,2-48.0,54,1-0,2-54,1-0,5/6,2/2,3/4,1-3,1-3,0
20180909_TEN@MIA,20180909,TEN,29:35,19,4,13,2,6-14,0-2,336,67,5.0,116,29,4.0,220,20-38,5.8,0-0,5-48,2,1,0,1,3,0-0,3,4-44.5,165,2-44,2-121,2-0,4/4,2/2,2/2,1-2,1-2,0
20180909_TEN@MIA,20180909,MIA,30:25,18,7,9,2,2-10,0-1,343,58,5.9,121,29,4.2,222,20-28,7.9,1-8,7-51,3,0,2,1,2,0-0,2,4-32.8,126,2-1,2-125,3-0,5/5,3/3,2/2,1-5,1-2,0
20180909_SF@MIN,20180909,SF,28:51,20,6,10,4,5-13,0-0,327,61,5.4,90,25,3.6,237,15-33,7.2,3-24,3-21,1,0,1,0,4,2-1,3,4-41.8,14,2-14,0-0,0-0,4/4,1/1,3/3,1-4,0-2,0
20180909_SF@MIN,20180909,MIN,31:09,19,3,15,1,7-17,0-1,343,71,4.8,116,32,3.6,227,20-36,6.3,3-17,7-52,2,0,2,0,1,1-1,0,6-36.0,7,3-7,0-0,3-0,4/4,3/3,1/1,1-2,1-1,0
20180909_HOU@NE,20180909,HOU,28:50,21,10,8,3,2-11,0-1,325,72,4.5,167,34,4.9,158,17-35,4.5,3-18,6-44,2,1,1,0,2,1-1,1,6-38.3,176,2-20,5-156,1-0,4/4,2/2,2/2,2-5,2-2,0
20180909_HOU@NE,20180909,NE,31:10,23,5,16,2,4-14,1-1,389,72,5.4,122,31,3.9,267,26-39,6.8,2-10,6-36,3,0,3,0,3,3-2,1,6-43.5,19,1-0,1-19,1-0,5/5,3/3,2/2,3-4,1-1,0
20180909_TB@NO,20180909,TB,32:09,26,5,17,4,8-13,0-0,529,62,8.5,112,34,3.3,417,21-28,14.9,0-0,7-70,6,1,4,1,0,1-0,0,1-42.0,52,3-19,2-33,0-0,8/9,6/6,2/3,2-4,1-2,0
20180909_TB@NO,20180909,NO,27:51,26,5,19,2,4-9,1-1,475,59,8.1,43,13,3.3,432,37-45,9.6,1-7,8-77,5,2,3,0,2,2-2,0,3-45.7,69,1-0,3-69,0-0,4/4,3/3,1/1,4-5,1-1,0
20180909_JAC@NYG,20180909,JAC,29:31,17,4,13,0,4-13,0-0,305,62,4.9,137,28,4.9,168,18-33,5.1,1-8,11-119,1,0,1,0,1,0-0,1,7-37.1,55,2-10,2-45,1-0,5/5,3/3,2/2,1-2,1-1,0
20180909_JAC@NYG,20180909,NYG,30:29,15,3,8,4,4-13,0-2,324,62,5.2,114,23,5.0,210,23-37,5.7,2-14,6-43,1,1,0,0,2,1-1,1,5-43.4,19,3-4,1-15,1-0,3/3,0/0,3/3,0-2,0-1,0
20180909_KC@LAC,20180909,KC,25:34,19,7,10,2,4-10,0-0,362,55,6.6,106,27,3.9,256,15-27,9.5,1-0,6-50,5,0,4,1,0,0-0,0,5-52.2,128,2-95,2-33,1-0,7/7,6/6,1/1,2-2,2-2,0
20180909_KC@LAC,20180909,LAC,34:26,33,7,23,3,3-11,1-1,541,74,7.3,123,22,5.6,418,34-51,8.2,1-6,7-45,3,0,3,0,2,2-1,1,3-16.3,31,2--5,2-36,0-0,2/3,0/0,2/3,2-2,1-1,0
20180909_WAS@ARI,20180909,WAS,38:08,30,10,13,7,6-13,1-1,429,75,5.7,182,42,4.3,247,21-30,8.2,3-8,9-63,3,1,2,0,1,3-1,0,4-35.5,36,2-12,2-24,1-0,4/4,3/3,1/1,3-4,1-1,0
20180909_WAS@ARI,20180909,ARI,21:52,14,7,6,1,1-8,0-1,213,51,4.2,68,15,4.5,145,20-34,4.3,2-8,9-67,1,1,0,0,2,1-1,1,5-46.2,44,2-44,0-0,0-0,0/0,0/0,0/0,1-2,1-2,0
20180909_DAL@CAR,20180909,DAL,29:24,17,4,10,3,2-11,0-1,232,57,4.1,94,22,4.3,138,19-29,4.8,6-32,10-85,1,1,0,0,1,1-1,0,6-38.5,13,2-13,0-0,0-0,0/1,0/0,0/1,1-1,0-0,0
20180909_DAL@CAR,20180909,CAR,30:36,20,9,9,2,4-12,0-0,293,61,4.8,147,32,4.6,146,17-26,5.6,3-15,9-80,2,2,0,0,1,2-1,0,6-42.3,62,4-62,0-0,0-0,2/3,1/2,1/1,2-5,2-2,0
20180909_SEA@DEN,20180909,SEA,24:52,13,1,10,2,2-12,0-0,306,55,5.6,64,16,4.0,242,19-33,7.3,6-56,7-45,3,0,3,0,3,3-1,2,6-57.5,50,3-11,2-39,3-0,4/5,3/3,1/2,1-2,0-1,0
20180909_SEA@DEN,20180909,DEN,35:08,25,8,15,2,4-12,0-0,470,72,6.5,146,32,4.6,324,25-39,8.3,1-5,7-60,3,0,3,0,3,0-0,3,6-42.7,9,2-9,0-0,2-0,5/5,3/3,2/2,1-1,1-1,0
20180909_CHI@GB,20180909,CHI,33:22,18,7,8,3,7-17,0-2,294,66,4.5,139,27,5.1,155,23-35,4.4,4-16,5-35,1,1,0,0,1,2-1,0,4-46.0,63,2-45,1-18,1-0,6/6,3/3,3/3,1-4,1-2,0
20180909_CHI@GB,20180909,GB,26:38,16,2,14,0,5-13,0-1,370,59,6.3,69,18,3.8,301,24-37,8.1,4-40,8-72,3,0,3,0,2,2-1,1,4-36.8,85,1-17,3-68,0-0,4/4,3/3,1/1,1-2,0-1,0
20180910_NYJ@DET,20180910,NYJ,33:07,18,7,10,1,6-14,2-3,349,59,5.9,169,36,4.7,180,16-21,8.6,2-18,7-49,5,2,2,1,2,1-1,1,3-37.3,182,3-137,2-45,5-0,10/10,8/8,2/2,1-4,1-2,0
20180910_NYJ@DET,20180910,DET,26:53,20,2,15,3,3-13,0-2,339,67,5.1,39,15,2.6,300,29-52,5.8,0-0,3-15,1,0,1,0,5,0-0,5,3-5.0,0,0-0,0-0,1-0,4/6,3/3,1/3,0-2,0-1,0
20180910_LAR@OAK,20180910,LAR,28:29,23,8,13,2,4-11,0-0,365,60,6.1,140,26,5.4,225,18-33,6.8,1-8,8-70,2,0,2,0,0,1-0,0,2-53.5,87,2-12,3-75,3-0,7/8,3/3,4/5,2-5,1-3,0
20180910_LAR@OAK,20180910,OAK,31:31,20,7,11,2,5-11,0-0,395,64,6.2,95,23,4.1,300,29-40,7.5,1-3,11-155,1,1,0,0,3,0-0,3,4-41.5,10,1-10,0-0,0-0,3/3,1/1,2/2,1-2,1-2,0
Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20180913_BAL@CIN,20180913,BAL,28:10,28,5,20,3,7-16,2-4,425,81,5.2,66,22,3.0,359,32-55,6.5,4-17,7-51,3,1,2,0,3,2-1,2,3-41.7,30,1--2,1-32,0-0,3/3,2/2,1/1,3-3,2-2,0
20180913_BAL@CIN,20180913,CIN,31:50,24,6,14,4,5-13,0-0,373,70,5.3,108,28,3.9,265,24-42,6.3,0-0,9-92,4,0,4,0,0,1-0,0,6-40.5,80,2-24,3-56,2-0,6/6,4/4,2/2,3-4,3-3,0
20180916_CAR@ATL,20180916,CAR,30:18,27,6,20,1,5-11,1-1,439,65,6.8,121,18,6.7,318,32-45,7.1,2-17,7-49,3,0,3,0,1,0-0,1,4-47.0,35,2-9,1-26,1-0,4/4,3/3,1/1,2-2,2-2,0
20180916_CAR@ATL,20180916,ATL,29:42,23,10,12,1,6-11,0-0,442,60,7.4,170,32,5.3,272,23-28,9.7,0-0,2-26,4,2,2,0,1,3-0,1,4-37.5,53,1-3,2-50,1-0,5/5,4/4,1/1,4-4,1-1,0
20180916_LAC@BUF,20180916,LAC,33:02,21,5,16,0,3-9,0-0,349,55,6.3,109,26,4.2,240,23-27,8.9,2-16,6-45,4,1,3,0,0,2-0,0,5-39.8,42,3-17,1-25,2-0,5/5,4/4,1/1,3-4,1-2,0
20180916_LAC@BUF,20180916,BUF,26:58,17,5,10,2,5-14,0-0,293,60,4.9,84,22,3.8,209,18-33,6.3,5-36,6-31,2,1,1,0,2,1-0,2,5-37.2,54,1-6,2-48,0-0,4/4,2/2,2/2,2-3,2-2,0
20180916_MIN@GB,20180916,MIN,27:19,24,3,20,1,7-14,0-0,480,68,7.1,68,18,3.8,412,35-48,8.6,2-13,8-70,4,0,4,0,1,0-0,1,5-36.8,87,1-13,2-74,0-0,3/6,3/3,0/3,2-3,1-1,0
20180916_MIN@GB,20180916,GB,32:41,24,9,11,4,4-13,0-0,351,70,5.0,98,24,4.1,253,30-42,6.0,4-28,7-54,1,0,1,0,0,2-0,0,5-45.2,8,2-0,1-8,1-0,7/8,2/2,5/6,1-5,1-1,0
20180916_CLE@NO,20180916,CLE,27:19,16,4,10,2,4-12,1-2,327,60,5.5,93,27,3.4,234,22-30,7.8,3-12,4-43,2,1,1,0,1,3-0,1,3-39.3,82,1-0,3-82,0-0,2/6,0/2,2/4,1-1,1-1,0
20180916_CLE@NO,20180916,NO,32:41,18,4,11,3,3-12,0-0,275,61,4.5,62,23,2.7,213,28-35,6.1,3-30,4-53,2,0,2,0,2,2-2,0,4-44.8,47,1-0,1-47,1-0,3/4,1/1,2/3,2-4,2-3,0
20180916_MIA@NYJ,20180916,MIA,28:25,18,6,9,3,6-13,0-0,257,58,4.4,135,31,4.4,122,17-23,5.3,4-46,2-10,3,1,2,0,2,3-2,0,6-48.5,82,3-48,1-34,2-0,2/3,2/3,0/0,2-3,0-0,0
20180916_MIA@NYJ,20180916,NYJ,31:35,21,3,17,1,3-10,0-0,362,63,5.7,42,19,2.2,320,25-41,7.8,3-14,7-50,1,0,1,0,3,4-1,2,5-43.0,4,1-4,0-0,0-0,2/3,0/1,2/2,0-2,0-0,0
20180916_KC@PIT,20180916,KC,27:49,24,4,17,3,2-5,0-0,449,54,8.3,127,25,5.1,322,23-28,11.5,1-4,12-76,6,0,6,0,1,3-1,0,2-47.0,54,2-54,0-0,0-0,6/6,6/6,0/0,4-4,2-2,0
20180916_KC@PIT,20180916,PIT,32:11,33,2,25,6,3-11,2-2,475,74,6.4,33,13,2.5,442,39-60,7.4,1-10,12-90,5,2,3,0,0,1-0,0,5-31.6,73,1-6,4-67,0-0,3/5,3/4,0/1,4-4,3-3,1
20180916_PHI@TB,20180916,PHI,35:39,24,8,14,2,5-15,3-5,412,75,5.5,91,24,3.8,321,35-48,6.7,3-13,6-55,3,2,1,0,2,2-2,0,5-46.2,13,3-13,0-0,1-0,3/4,3/3,0/1,3-3,2-2,0
20180916_PHI@TB,20180916,TB,24:21,18,1,17,0,4-10,0-0,436,58,7.5,43,23,1.9,393,27-33,11.9,2-9,4-44,4,0,4,0,2,1-1,1,6-41.2,42,4-29,1-13,0-0,3/4,3/4,0/0,2-2,1-1,0
20180916_HOU@TEN,20180916,HOU,29:38,21,6,13,2,5-11,0-0,437,62,7.0,148,26,5.7,289,22-32,9.0,4-21,11-88,2,0,2,0,1,2-0,1,4-35.5,25,4-25,0-0,0-0,3/4,2/2,1/2,0-1,0-1,0
20180916_HOU@TEN,20180916,TEN,30:22,15,7,7,1,5-15,2-2,283,57,5.0,100,34,2.9,183,15-22,8.3,1-8,8-70,2,0,2,0,0,1-0,0,5-47.2,2,1-2,0-0,1-0,4/4,2/2,2/2,1-2,0-0,0
20180916_IND@WAS,20180916,IND,26:40,17,5,10,2,9-16,0-0,281,60,4.7,104,28,3.7,177,21-31,5.7,1-2,6-26,3,1,2,0,2,0-0,2,5-41.8,19,0-0,1-19,0-0,3/3,3/3,0/0,3-3,1-1,0
20180916_IND@WAS,20180916,WAS,33:20,20,4,16,0,5-15,1-2,334,71,4.7,65,22,3.0,269,33-46,5.8,3-23,7-90,0,0,0,0,1,2-1,0,5-36.4,22,1-6,1-16,2-0,3/4,0/0,3/4,0-2,0-0,0
20180916_ARI@LAR,20180916,ARI,25:52,5,1,4,0,3-12,1-1,137,43,3.2,54,15,3.6,83,17-27,3.1,1-7,9-47,0,0,0,0,1,0-0,1,8-33.8,49,0-0,3-49,1-0,0/0,0/0,0/0,0-0,0-0,0
20180916_ARI@LAR,20180916,LAR,34:08,24,8,14,2,8-15,1-3,432,67,6.4,90,33,2.7,342,24-32,10.7,2-12,5-49,4,3,1,0,1,0-0,1,2-41.0,155,6-133,1-22,1-0,2/2,1/1,1/1,4-6,2-3,0
20180916_DET@SF,20180916,DET,30:26,25,5,17,3,7-16,0-1,427,73,5.8,98,18,5.4,329,34-53,6.2,2-18,10-105,3,0,3,0,1,1-1,0,5-39.4,155,4-11,5-144,0-0,5/5,3/3,2/2,2-4,2-2,0
20180916_DET@SF,20180916,SF,29:34,23,6,13,4,3-11,0-0,346,60,5.8,190,28,6.8,156,18-26,6.0,6-50,9-86,3,1,2,0,0,1-0,0,5-43.2,188,2-14,5-174,0-0,6/6,3/3,3/3,2-5,1-2,0
20180916_OAK@DEN,20180916,OAK,32:56,21,3,16,2,3-10,0-1,373,60,6.2,91,27,3.4,282,29-32,8.8,1-7,4-30,2,1,1,0,0,0-0,0,4-47.3,22,1-7,0-0,1-15,3/4,1/2,2/2,1-2,0-0,0
20180916_OAK@DEN,20180916,DEN,27:04,20,10,9,1,8-16,1-1,385,64,6.0,168,28,6.0,217,19-35,6.2,1-5,6-35,2,2,0,0,1,0-0,1,4-51.0,1,1-1,0-0,0-0,4/4,2/2,2/2,2-4,0-0,0
20180916_NE@JAC,20180916,NE,29:14,18,5,12,1,4-12,0-0,302,61,5.0,81,24,3.4,221,24-35,6.3,2-14,2-25,2,0,2,0,1,1-1,0,4-55.3,47,0-0,2-47,1-0,4/5,2/2,2/3,1-2,0-0,0
20180916_NE@JAC,20180916,JAC,30:46,27,5,22,0,10-14,0-0,480,69,7.0,103,24,4.3,377,29-45,8.4,0-0,7-71,4,0,4,0,2,2-1,1,3-35.3,57,2-20,3-37,0-0,5/5,4/4,1/1,2-3,0-0,0
20180916_NYG@DAL,20180916,NYG,32:12,17,6,11,0,8-17,2-2,255,67,3.8,35,17,2.1,220,33-44,5.0,6-59,3-24,1,0,1,0,1,1-1,0,6-40.0,70,3-14,2-56,0-0,3/3,1/1,2/2,1-2,0-1,0
20180916_NYG@DAL,20180916,DAL,27:48,16,9,6,1,3-10,1-1,298,50,6.0,138,25,5.5,160,16-25,6.4,0-0,6-47,2,1,1,0,0,1-0,0,4-39.8,0,1-0,0-0,0-0,4/4,2/2,2/2,1-3,0-0,0
20180917_SEA@CHI,20180917,SEA,25:36,17,6,10,1,5-13,0-0,276,64,4.3,74,22,3.4,202,22-36,5.6,6-24,5-37,2,0,2,0,2,3-1,1,7-36.9,14,1-14,0-0,2-0,3/3,2/2,1/1,2-2,1-1,0
20180917_SEA@CHI,20180917,CHI,34:24,20,7,11,2,5-12,1-1,271,63,4.3,86,27,3.2,185,25-34,5.4,2-15,7-55,2,0,2,0,2,0-0,2,4-38.8,73,4-58,2-15,1-0,4/4,3/3,1/1,2-3,2-2,0
Gm,Date,Team,Time of Pos,1st Downs,Rushing,Passing,Penalty,3rd Down Conv,4th Down Conv,Total Net Yards,Total Plays,Avg Gain,Net Yards Rushing,Rush Attempts,Avg Rush Yards,Net Yards Passing,Comp. - Att.,Yards Per Pass,Sacked - Yards Lost,Penalties - Yards,Touchdowns,Rushing TDs,Passing TDs,Other,Turnovers,Fumbles - Lost,Int. Thrown,Punts - Avg,Return Yards,Punts - Returns,Kickoffs - Returns,Int. - Returns,Kicking,Extra Points,Field Goals,Red Zone Eff.,Goal to Go Eff.,Safeties
20180920_NYJ@CLE,20180920,NYJ,29:08,14,5,9,0,6-15,1-1,268,63,4.3,107,30,3.6,161,15-31,5.2,2-8,6-55,2,2,0,0,3,2-1,2,7-46.3,34,1-12,1-22,0-0,3/3,2/2,1/1,2-3,0-0,0
20180920_NYJ@CLE,20180920,CLE,30:52,20,9,10,1,7-18,0-0,323,74,4.4,133,33,4.0,190,21-37,5.1,4-30,5-41,2,2,0,0,0,2-0,0,8-31.9,39,5-20,1-19,2-0,3/3,1/1,2/2,2-3,2-3,0
20180923_NO@ATL,20180923,NO,33:46,32,11,19,2,7-14,1-1,534,77,6.9,143,27,5.3,391,39-49,8.0,1-5,11-120,5,2,3,0,0,1-0,0,4-42.5,80,3-16,3-64,0-0,7/7,4/4,3/3,5-6,4-5,0
20180923_NO@ATL,20180923,ATL,26:14,24,1,19,4,4-11,0-0,407,60,6.8,48,22,2.2,359,26-35,10.3,3-15,5-54,5,0,5,0,0,0-0,0,6-33.3,86,2-12,3-74,0-0,3/3,3/3,0/0,4-4,3-3,0
20180923_DEN@BAL,20180923,DEN,29:46,18,8,8,2,6-14,0-1,293,61,4.8,120,24,5.0,173,22-34,5.1,3-19,13-120,2,2,0,0,1,1-0,1,7-39.3,72,3-31,2-41,0-0,2/2,2/2,0/0,1-3,1-2,0
20180923_DEN@BAL,20180923,BAL,30:14,20,5,13,2,8-16,0-0,342,70,4.9,77,28,2.8,265,25-40,6.6,2-12,7-52,3,2,1,0,0,1-0,0,5-33.2,90,3-12,3-78,1-0,5/6,3/3,2/3,3-3,2-2,0
20180923_CIN@CAR,20180923,CIN,26:05,25,6,18,1,4-10,0-0,396,61,6.5,66,13,5.1,330,29-46,7.2,2-22,4-36,3,1,2,0,4,0-0,4,3-42.7,9,1-9,0-0,0-0,3/4,3/3,0/1,2-2,2-2,0
20180923_CIN@CAR,20180923,CAR,33:55,23,11,10,2,6-13,0-1,377,66,5.7,230,41,5.6,147,15-24,6.1,1-3,3-17,4,2,2,0,0,1-0,0,4-39.0,4,1-4,0-0,4-0,5/5,4/4,1/1,3-3,3-3,0
20180923_NYG@HOU,20180923,NYG,35:30,21,4,16,1,7-13,0-0,379,60,6.3,114,27,4.2,265,25-29,9.1,4-32,3-20,3,1,2,0,0,2-0,0,4-38.3,51,2-6,4-45,1-0,5/5,3/3,2/2,3-4,1-1,0
20180923_NYG@HOU,20180923,HOU,24:30,21,2,18,1,5-12,2-2,427,62,6.9,59,19,3.1,368,24-40,9.2,3-17,7-50,2,0,2,0,2,1-1,1,3-49.7,86,3-45,2-41,0-0,4/4,1/1,3/3,2-5,2-5,0
20180923_TEN@JAC,20180923,TEN,32:47,15,7,6,2,5-15,0-0,233,59,3.9,150,35,4.3,83,13-21,4.0,3-25,4-30,0,0,0,0,0,0-0,0,6-41.5,26,4-26,0-0,0-0,3/4,0/0,3/4,0-2,0-0,0
20180923_TEN@JAC,20180923,JAC,27:13,12,6,6,0,5-14,0-1,232,56,4.1,87,19,4.6,145,21-34,4.3,3-10,8-75,0,0,0,0,1,2-1,0,6-37.8,36,2-11,1-25,0-0,2/2,0/0,2/2,0-0,0-0,0
20180923_SF@KC,20180923,SF,29:59,26,11,12,3,2-9,2-2,406,63,6.4,178,29,6.1,228,20-30,7.6,4-23,14-147,3,1,2,0,0,3-0,0,4-35.8,24,1-1,1-23,0-0,3/4,1/2,2/2,2-3,1-2,0
20180923_SF@KC,20180923,KC,30:01,31,9,15,7,7-11,1-1,384,68,5.6,77,28,2.8,307,24-38,8.1,2-7,6-48,5,2,3,0,0,2-0,0,2-43.0,30,1-5,1-25,0-0,6/6,5/5,1/1,5-6,3-3,0
20180923_OAK@MIA,20180923,OAK,38:31,25,5,17,3,7-13,0-1,434,74,5.9,109,32,3.4,325,27-39,8.3,3-20,8-38,2,1,1,0,2,1-0,2,3-37.3,50,3-11,2-39,0-0,4/4,2/2,2/2,2-5,1-3,0
20180923_OAK@MIA,20180923,MIA,21:29,13,2,11,0,2-8,0-0,373,39,9.6,41,14,2.9,332,18-24,13.8,1-9,9-74,4,0,4,0,0,0-0,0,6-41.8,105,0-0,4-105,2-0,4/4,4/4,0/0,1-1,0-0,0
20180923_BUF@MIN,20180923,BUF,35:45,16,7,6,3,4-13,1-1,292,63,4.6,128,38,3.4,164,15-22,7.5,3-32,12-84,3,2,1,0,0,3-0,0,6-43.2,13,1-13,0-0,1-0,5/5,3/3,2/2,2-3,1-1,0
20180923_BUF@MIN,20180923,MIN,24:15,21,1,17,3,5-14,0-1,292,65,4.5,14,6,2.3,278,40-55,5.1,4-18,6-59,1,0,1,0,3,4-2,1,5-45.2,82,1-0,4-82,0-0,0/0,0/0,0/0,1-1,1-1,0
20180923_IND@PHI,20180923,IND,19:40,14,3,9,2,2-12,1-2,209,56,3.7,68,13,5.2,141,25-41,3.4,2-23,11-77,1,0,1,0,0,0-0,0,5-43.4,37,1-2,2-35,1-0,4/4,1/1,3/3,1-5,1-1,0
20180923_IND@PHI,20180923,PHI,40:20,26,10,12,4,6-14,0-0,379,77,4.9,152,35,4.3,227,25-37,6.1,5-28,10-110,2,1,1,0,2,4-1,1,3-42.0,38,4-5,2-33,0-0,4/5,2/2,2/3,2-4,0-2,0
20180923_GB@WAS,20180923,GB,30:55,19,7,11,1,6-14,0-2,340,66,5.2,100,17,5.9,240,27-45,5.3,4-25,11-115,2,0,2,0,1,2-1,0,5-44.6,54,4-29,1-25,1-0,3/3,2/2,1/1,1-2,1-1,0
20180923_GB@WAS,20180923,WAS,29:05,20,9,7,4,5-11,0-0,386,55,7.0,166,35,4.7,220,12-20,11.0,0-0,6-66,4,2,2,0,1,0-0,1,5-41.2,42,1-9,2-33,0-0,5/5,4/4,1/1,3-5,3-3,0
20180923_LAC@LAR,20180923,LAC,25:44,16,7,9,0,7-13,1-2,356,52,6.8,141,20,7.1,215,18-30,7.2,2-11,4-30,3,1,2,0,2,2-2,0,3-31.3,44,1-11,1-33,1-0,3/4,2/3,1/1,2-4,0-1,0
20180923_LAC@LAR,20180923,LAR,34:16,33,12,18,3,8-11,0-0,521,72,7.2,171,35,4.9,350,29-36,9.7,1-4,6-64,4,1,3,0,2,1-1,1,1-38.0,83,2-8,3-75,0-0,5/6,5/5,0/1,3-4,3-3,0
20180923_CHI@ARI,20180923,CHI,36:21,21,7,11,3,5-14,1-1,316,69,4.6,122,31,3.9,194,24-35,5.5,3-26,7-45,1,1,0,0,2,1-1,1,3-43.7,24,2-24,0-0,3-0,4/5,1/1,3/4,1-3,1-2,0
