player,position,team,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17,total,average
Aaron Rodgers ,QB,GB,46,77,69,76,81,71,bye,52,0, , , , , , , , ,472,67.4
Adrian Peterson ,RB,WAS,42,25,32,bye,13,37,34,41,0, , , , , , , , ,224,32.0
Alex Smith ,QB,WAS,79,74,61,bye,61,70,60,68,0, , , , , , , , ,473,67.6
Antonio Gates ,TE,LAC,33,11,22,23,23,16,13,bye,0, , , , , , , , ,141,20.1
Ben Roethlisberger ,QB,PIT,84,82,66,62,60,73,bye,70,0, , , , , , , , ,497,71.0
Benjamin Watson ,TE,NO,51,54,45,37,36,bye,36,14,0, , , , , , , , ,273,39.0
Brian Hoyer ,QB,NE,0,0,0,4,0,0,0,2,0, , , , , , , , ,6,3.0
Chase Daniel ,QB,CHI,0,0,0,3,bye,0,1,0,0, , , , , , , , ,4,2.0
Danny Amendola ,WR,MIA,45,44,31,42,53,75,55,65,0, , , , , , , , ,410,51.3
Darren Sproles ,RB,PHI,29,0,0,0,0,0,0,0,bye, , , , , , , , ,29,29.0
Darrius Heyward-Bey ,WR,PIT,1,6,4,5,0,0,bye,2,0, , , , , , , , ,18,3.6
Delanie Walker ,TE,TEN,39,0,0,0,0,0,0,bye,0, , , , , , , , ,39,39.0
Derek Anderson ,QB,BUF,0,0,0,0,0,0,56,62,0, , , , , , , , ,118,59.0
DeSean Jackson ,WR,TB,20,34,43,39,bye,34,43,46,0, , , , , , , , ,259,37.0
Drew Brees ,QB,NO,64,66,79,70,63,bye,71,53,0, , , , , , , , ,466,66.6
Eli Manning ,QB,NYG,71,68,62,62,56,65,64,70,bye, , , , , , , , ,518,64.8
Frank Gore ,RB,MIA,18,24,16,25,26,30,25,29,0, , , , , , , , ,193,24.1
Greg Olsen ,TE,CAR,16,0,0,bye,0,59,59,63,0, , , , , , , , ,197,49.3
Jared Cook ,TE,OAK,67,52,62,76,48,51,bye,31,0, , , , , , , , ,387,55.3
Joe Flacco ,QB,BAL,55,85,72,76,87,76,68,61,0, , , , , , , , ,580,72.5
Jonathan Stewart ,RB,NYG,10,5,2,0,0,0,0,0,bye, , , , , , , , ,17,5.7
Jordy Nelson ,WR,OAK,72,54,55,80,47,57,bye,45,0, , , , , , , , ,410,58.6
Julian Edelman ,WR,NE,0,0,0,0,48,71,63,73,0, , , , , , , , ,255,63.8
Larry Fitzgerald ,WR,ARI,52,26,48,52,42,49,64,66,bye, , , , , , , , ,399,49.9
LeSean McCoy ,RB,BUF,34,30,0,36,47,47,2,46,0, , , , , , , , ,242,34.6
Marcedes Lewis ,TE,GB,7,14,7,17,12,22,bye,12,0, , , , , , , , ,91,13.0
Marshawn Lynch ,RB,OAK,27,42,42,50,21,30,bye,0,0, , , , , , , , ,212,35.3
Matt Cassel ,QB,DET,7,0,0,0,0,bye,0,0,0, , , , , , , , ,7,7.0
Matt Ryan ,QB,ATL,70,62,68,70,64,67,65,bye,0, , , , , , , , ,466,66.6
Matt Schaub ,QB,ATL,0,1,0,0,8,0,0,bye,0, , , , , , , , ,9,4.5
Matt Slater ,WR,NE,0,0,0,3,2,1,0,2,0, , , , , , , , ,8,1.0
Matthew Stafford ,QB,DET,63,77,73,54,62,bye,64,59,0, , , , , , , , ,452,64.6
Michael Crabtree ,WR,BAL,53,73,52,48,72,41,48,45,0, , , , , , , , ,432,54.0
Mike Wallace ,WR,PHI,66,7,0,0,0,0,0,0,bye, , , , , , , , ,73,36.5
Philip Rivers ,QB,LAC,82,55,52,68,64,53,44,bye,0, , , , , , , , ,418,59.7
Pierre Garcon ,WR,SF,53,49,52,49,62,45,32,0,0, , , , , , , , ,342,48.9
Ryan Fitzpatrick ,QB,TB,66,58,74,28,bye,0,0,25,0, , , , , , , , ,251,50.2
Ted Ginn ,WR,NO,50,30,52,38,0,bye,0,0,0, , , , , , , , ,170,42.5
Tom Brady ,QB,NE,75,61,48,77,69,78,64,74,0, , , , , , , , ,546,68.3
Vernon Davis ,TE,WAS,47,27,37,bye,26,36,27,33,0, , , , , , , , ,233,33.3
Golden Tate ,WR,PHI,57,65,54,42,48,0,46,0,bye, , , , , , , , ,312,52.0
Jermaine Gresham ,TE,ARI,0,0,17,33,28,30,39,31,bye, , , , , , , , ,178,29.7
Demaryius Thomas ,WR,HOU,53,59,54,51,47,48,41,0,0, , , , , , , , ,353,50.4
Andre Roberts ,WR,NYJ,10,0,1,0,2,7,31,32,0, , , , , , , , ,83,11.9
Brandon LaFell ,WR,OAK,0,7,33,0,0,0,bye,46,0, , , , , , , , ,86,28.7
Ed Dickson ,TE,SEA,0,0,0,0,0,0,bye,20,0, , , , , , , , ,20,20.0
Emmanuel Sanders ,WR,DEN,64,54,60,54,73,56,43,59,0, , , , , , , , ,463,57.9
Jimmy Graham ,TE,GB,59,58,64,54,66,56,bye,46,0, , , , , , , , ,403,57.6
LeGarrette Blount ,RB,DET,13,17,26,14,18,bye,21,7,0, , , , , , , , ,116,16.6
Rob Gronkowski ,TE,NE,75,58,48,54,63,77,0,68,0, , , , , , , , ,443,63.3
Chris Ivory ,RB,BUF,7,9,54,22,18,16,36,19,0, , , , , , , , ,181,22.6
Antonio Brown ,WR,PIT,83,77,62,59,57,63,bye,70,0, , , , , , , , ,471,67.3
Logan Paulsen ,TE,ATL,19,29,21,29,19,37,27,bye,0, , , , , , , , ,181,25.9
A.J. Green ,WR,CIN,53,69,33,69,51,57,46,62,bye, , , , , , , , ,440,55.0
Blaine Gabbert ,QB,TEN,33,59,9,0,0,0,0,bye,0, , , , , , , , ,101,33.7
Julio Jones ,WR,ATL,57,48,54,54,53,51,49,bye,0, , , , , , , , ,366,52.3
Cam Newton ,QB,CAR,67,67,67,bye,71,60,59,62,0, , , , , , , , ,453,64.7
Mark Ingram ,RB,NO,0,0,0,0,36,bye,35,23,0, , , , , , , , ,94,31.3
Torrey Smith ,WR,CAR,51,58,44,bye,46,42,30,0,0, , , , , , , , ,271,45.2
Jacquizz Rodgers ,RB,TB,15,18,26,11,bye,10,30,33,0, , , , , , , , ,143,20.4
Randall Cobb ,WR,GB,52,71,65,0,0,0,bye,24,0, , , , , , , , ,212,53.0
Kyle Rudolph ,TE,MIN,59,63,64,60,54,60,56,63,0, , , , , , , , ,479,59.9
Andy Dalton ,QB,CIN,56,76,65,73,60,61,48,66,bye, , , , , , , , ,505,63.1
Lance Kendricks ,TE,GB,19,27,10,35,18,22,bye,17,0, , , , , , , , ,148,21.1
Stevan Ridley ,RB,PIT,0,3,5,0,12,6,bye,6,0, , , , , , , , ,32,5.3
Luke Stocker ,TE,TEN,25,36,32,25,32,20,30,bye,0, , , , , , , , ,200,28.6
Taiwan Jones ,RB,BUF,0,0,0,1,1,0,0,0,0, , , , , , , , ,2,0.3
Bilal Powell ,RB,NYJ,24,34,34,36,34,32,14,0,0, , , , , , , , ,208,29.7
Anthony Sherman ,RB,KC,17,13,8,4,5,2,11,4,0, , , , , , , , ,64,8.0
Dion Lewis ,RB,TEN,49,34,30,48,34,32,45,bye,0, , , , , , , , ,272,38.9
Niles Paul ,TE,JAC,17,9,11,28,35,3,0,0,bye, , , , , , , , ,103,17.2
Lee Smith ,TE,OAK,9,22,19,30,8,12,bye,15,0, , , , , , , , ,115,16.4
Charles Clay ,TE,BUF,40,43,40,43,49,44,39,41,0, , , , , , , , ,339,42.4
Dwayne Harris ,WR,OAK,0,0,2,4,0,4,bye,1,0, , , , , , , , ,11,1.8
Aldrick Robinson ,WR,MIN,0,0,8,8,15,6,8,17,0, , , , , , , , ,62,10.3
Tyrod Taylor ,QB,CLE,89,62,31,0,0,0,0,0,0, , , , , , , , ,182,60.7
Virgil Green ,TE,LAC,44,41,33,50,46,48,32,bye,0, , , , , , , , ,294,42.0
Terrelle Pryor ,WR,BUF,24,44,44,2,13,44,0,0,0, , , , , , , , ,171,28.5
Doug Baldwin ,WR,SEA,11,0,0,50,53,49,bye,54,0, , , , , , , , ,217,43.4
Andrew Luck ,QB,IND,82,61,58,91,83,69,58,78,bye, , , , , , , , ,580,72.5
Ryan Tannehill ,QB,MIA,62,60,44,36,64,0,0,0,0, , , , , , , , ,266,53.2
Brandon Weeden ,QB,HOU,0,0,0,0,0,0,0,1,0, , , , , , , , ,1,1.0
Nick Foles ,QB,PHI,72,79,0,0,0,0,0,0,bye, , , , , , , , ,151,75.5
Kirk Cousins ,QB,MIN,71,73,66,74,62,71,69,73,0, , , , , , , , ,559,69.9
Brock Osweiler ,QB,MIA,0,0,0,13,0,78,56,66,0, , , , , , , , ,213,53.3
Russell Wilson ,QB,SEA,57,66,69,66,60,65,bye,63,0, , , , , , , , ,446,63.7
Lamar Miller ,RB,HOU,57,51,52,46,0,41,45,34,0, , , , , , , , ,326,46.6
Doug Martin ,RB,OAK,10,16,13,6,6,6,bye,28,0, , , , , , , , ,85,12.1
Robert Turbin ,RB,IND,0,0,0,0,9,13,0,0,bye, , , , , , , , ,22,11.0
Michael Floyd ,WR,WAS,0,0,0,bye,9,7,30,9,0, , , , , , , , ,55,13.8
Alshon Jeffery ,WR,PHI,0,0,0,65,55,59,64,54,bye, , , , , , , , ,297,59.4
Mohamed Sanu ,WR,ATL,56,48,59,55,59,33,40,bye,0, , , , , , , , ,350,50.0
T.Y. Hilton ,WR,IND,80,55,59,43,0,0,35,64,bye, , , , , , , , ,336,56.0
Jarius Wright ,WR,CAR,31,44,26,bye,30,37,32,17,0, , , , , , , , ,217,31.0
Brian Quick ,WR,WAS,0,5,1,bye,12,11,31,0,0, , , , , , , , ,60,12.0
Travis Benjamin ,WR,LAC,47,0,0,5,0,0,5,bye,0, , , , , , , , ,57,19.0
Marvin Jones ,WR,DET,62,77,67,50,58,bye,56,57,0, , , , , , , , ,427,61.0
Dwayne Allen ,TE,NE,23,14,17,45,12,11,55,12,0, , , , , , , , ,189,23.6
Orson Charles ,TE,CLE,8,18,21,25,7,5,9,14,0, , , , , , , , ,107,13.4
Rhett Ellison ,TE,NYG,29,24,54,54,55,0,32,28,bye, , , , , , , , ,276,39.4
Alfred Morris ,RB,SF,34,31,23,14,44,1,20,11,0, , , , , , , , ,178,22.3
Rishard Matthews ,WR,NYJ,36,28,31,0,0,0,0,19,0, , , , , , , , ,114,28.5
Andre Holmes ,WR,BUF,11,36,31,27,33,33,38,35,0, , , , , , , , ,244,30.5
Derek Carrier ,TE,OAK,25,11,18,17,9,11,bye,12,0, , , , , , , , ,103,14.7
Case Keenum ,QB,DEN,74,66,68,60,77,65,59,73,0, , , , , , , , ,542,67.8
Rod Streater ,WR,CLE,0,0,0,5,18,0,0,0,0, , , , , , , , ,23,7.7
Deonte Thompson ,WR,DAL,30,23,27,29,36,7,15,bye,0, , , , , , , , ,167,23.9
Josh Gordon ,WR,NE,69,0,0,18,18,63,61,64,0, , , , , , , , ,293,48.8
Cole Beasley ,WR,DAL,43,30,42,38,37,42,53,bye,0, , , , , , , , ,285,40.7
Chris Hogan ,WR,NE,68,55,48,70,63,47,42,45,0, , , , , , , , ,438,54.8
Jamize Olawale ,RB,DAL,6,9,3,6,6,8,1,bye,0, , , , , , , , ,39,5.6
Garrett Celek ,TE,SF,23,30,19,17,26,17,20,23,0, , , , , , , , ,175,21.9
Jermaine Kearse ,WR,NYJ,0,20,34,48,39,59,64,52,0, , , , , , , , ,316,45.1
Josh Bellamy ,WR,CHI,2,2,18,9,bye,16,18,55,0, , , , , , , , ,120,17.1
Travis Kelce ,TE,KC,56,57,71,73,66,51,60,55,0, , , , , , , , ,489,61.1
Marquise Goodwin ,WR,SF,17,0,42,37,0,54,55,61,0, , , , , , , , ,266,44.3
Russell Shepard ,WR,NYG,3,6,1,51,32,0,0,2,bye, , , , , , , , ,95,15.8
DeAndre Hopkins ,WR,HOU,73,67,68,86,80,61,64,59,0, , , , , , , , ,558,69.8
Robert Woods ,WR,LAR,61,70,74,55,66,72,50,76,0, , , , , , , , ,524,65.5
Kenny Stills ,WR,MIA,59,56,40,38,60,67,49,0,0, , , , , , , , ,369,52.7
Cordarrelle Patterson ,WR,NE,16,28,19,41,8,6,6,13,0, , , , , , , , ,137,17.1
Keenan Allen ,WR,LAC,72,50,40,57,49,39,40,bye,0, , , , , , , , ,347,49.6
Tavon Austin ,WR,DAL,10,18,19,17,23,18,0,bye,0, , , , , , , , ,105,17.5
Justin Hunter ,WR,PIT,51,0,0,0,2,14,bye,38,0, , , , , , , , ,105,26.3
Terrance Williams ,WR,DAL,19,10,9,0,0,0,0,bye,0, , , , , , , , ,38,12.7
Spencer Ware ,RB,KC,9,6,18,24,8,16,22,9,0, , , , , , , , ,112,14.0
Giovani Bernard ,RB,CIN,12,39,57,44,0,0,0,0,bye, , , , , , , , ,152,38.0
Theo Riddick ,RB,DET,41,28,21,25,19,bye,0,0,0, , , , , , , , ,134,26.8
Chris Thompson ,RB,WAS,33,50,25,bye,40,0,0,26,0, , , , , , , , ,174,34.8
Rex Burkhead ,RB,NE,38,14,7,0,0,0,0,0,0, , , , , , , , ,59,19.7
Kenjon Barner ,RB,NE,0,0,0,10,0,5,17,7,0, , , , , , , , ,39,9.8
Geno Smith ,QB,LAC,0,1,0,0,0,7,0,bye,0, , , , , , , , ,8,4.0
Zach Ertz ,TE,PHI,70,74,81,76,57,71,65,57,bye, , , , , , , , ,551,68.9
Jordan Reed ,TE,WAS,41,40,40,bye,39,47,41,53,0, , , , , , , , ,301,43.0
Dion Sims ,TE,CHI,20,35,28,31,bye,31,16,20,0, , , , , , , , ,181,25.9
Tyler Eifert ,TE,CIN,23,49,42,19,0,0,0,0,bye, , , , , , , , ,133,33.3
Levine Toilolo ,TE,DET,20,22,37,19,32,bye,21,14,0, , , , , , , , ,165,23.6
Vance McDonald ,TE,PIT,0,37,32,39,37,51,bye,27,0, , , , , , , , ,223,37.2
Kyle Juszczyk ,RB,SF,26,40,53,37,68,39,34,47,0, , , , , , , , ,344,43.0
Luke Willson ,TE,DET,14,40,39,25,34,bye,41,36,0, , , , , , , , ,229,32.7
Latavius Murray ,RB,MIN,14,23,38,41,46,58,58,61,0, , , , , , , , ,339,42.4
Ryan Griffin ,TE,HOU,63,52,52,59,57,51,0,0,0, , , , , , , , ,334,55.7
Tommy Bohanon ,RB,JAC,12,6,5,2,11,4,10,6,bye, , , , , , , , ,56,7.0
Benny Cunningham ,RB,CHI,0,0,6,4,bye,5,0,5,0, , , , , , , , ,20,2.9
Demetrius Harris ,TE,KC,0,18,25,31,29,16,35,20,0, , , , , , , , ,174,24.9
C.J. Anderson ,RB,CAR,12,8,3,bye,7,1,3,12,0, , , , , , , , ,46,6.6
Jaron Brown ,WR,SEA,33,47,50,15,9,22,bye,18,0, , , , , , , , ,194,27.7
Zach Line ,RB,NO,11,22,12,18,15,bye,13,7,0, , , , , , , , ,98,14.0
James Develin ,RB,NE,35,20,8,33,15,33,15,27,0, , , , , , , , ,186,23.3
Jack Doyle ,TE,IND,77,59,0,0,0,0,0,57,bye, , , , , , , , ,193,64.3
Derrick Coleman ,RB,ARI,5,3,5,4,9,5,1,1,bye, , , , , , , , ,33,4.1
Patrick DiMarco ,RB,BUF,1,8,12,4,13,12,7,12,0, , , , , , , , ,69,8.6
Nick Williams ,WR,LAR,0,0,0,30,19,0,10,10,0, , , , , , , , ,69,17.3
Teddy Bridgewater ,QB,NO,0,0,0,0,3,bye,0,1,0, , , , , , , , ,4,2.0
Blake Bortles ,QB,JAC,63,71,57,77,83,48,30,64,bye, , , , , , , , ,493,61.6
Derek Carr ,QB,OAK,74,65,76,92,53,60,bye,50,0, , , , , , , , ,470,67.1
Logan Thomas ,TE,BUF,18,19,0,0,24,18,10,18,0, , , , , , , , ,107,17.8
Jeremy Hill ,RB,NE,12,0,0,0,0,0,0,0,0, , , , , , , , ,12,12.0
Carlos Hyde ,RB,JAC,47,36,45,49,28,32,0,28,bye, , , , , , , , ,265,37.9
De'Anthony Thomas ,WR,KC,7,5,4,9,10,0,0,0,0, , , , , , , , ,35,7.0
Devonta Freeman ,RB,ATL,39,0,0,0,28,0,0,bye,0, , , , , , , , ,67,33.5
Isaiah Crowell ,RB,NYJ,24,31,29,20,25,29,33,25,0, , , , , , , , ,216,27.0
Sammy Watkins ,WR,KC,51,47,67,12,60,54,60,55,0, , , , , , , , ,406,50.8
Mike Evans ,WR,TB,50,47,59,57,bye,57,82,70,0, , , , , , , , ,422,60.3
Kelvin Benjamin ,WR,BUF,47,40,41,35,42,44,44,49,0, , , , , , , , ,342,42.8
Brandin Cooks ,WR,LAR,61,72,74,52,28,68,50,75,0, , , , , , , , ,480,60.0
Davante Adams ,WR,GB,59,75,68,76,71,63,bye,40,0, , , , , , , , ,452,64.6
Jordan Matthews ,WR,PHI,0,0,33,46,22,26,29,34,bye, , , , , , , , ,190,31.7
Donte Moncrief ,WR,JAC,43,51,48,60,68,38,55,56,bye, , , , , , , , ,419,52.4
Allen Robinson ,WR,CHI,67,63,69,53,bye,59,61,0,0, , , , , , , , ,372,62.0
Odell Beckham Jr. ,WR,NYG,68,66,59,59,52,63,61,67,bye, , , , , , , , ,495,61.9
Jarvis Landry ,WR,CLE,81,59,66,72,80,73,67,52,0, , , , , , , , ,550,68.8
Paul Richardson ,WR,WAS,61,68,45,bye,42,52,0,46,0, , , , , , , , ,314,52.3
TJ Jones ,WR,DET,17,16,12,11,9,bye,8,0,0, , , , , , , , ,73,12.2
Martavis Bryant ,WR,OAK,0,26,35,40,13,43,bye,7,0, , , , , , , , ,164,27.3
Eric Ebron ,TE,IND,37,16,52,76,59,49,33,17,bye, , , , , , , , ,339,42.4
Austin Seferian-Jenkins ,TE,JAC,55,60,47,36,23,0,0,0,bye, , , , , , , , ,221,44.2
Xavier Grimble ,TE,PIT,22,8,16,2,10,21,bye,13,0, , , , , , , , ,92,13.1
Trey Burton ,TE,CHI,61,57,63,45,bye,51,70,48,0, , , , , , , , ,395,56.4
James White ,RB,NE,36,34,25,40,43,33,45,61,0, , , , , , , , ,317,39.6
Cody Latimer ,WR,NYG,47,44,40,0,0,32,0,0,bye, , , , , , , , ,163,40.8
Jimmy Garoppolo ,QB,SF,66,64,67,0,0,0,0,0,0, , , , , , , , ,197,65.7
John Brown ,WR,BAL,48,68,55,44,59,41,50,46,0, , , , , , , , ,411,51.4
Ryan Grant ,WR,IND,65,43,50,72,68,40,0,0,bye, , , , , , , , ,338,56.3
Alfred Blue ,RB,HOU,10,17,16,40,79,25,27,29,0, , , , , , , , ,243,30.4
Quincy Enunwa ,WR,NYJ,40,52,53,53,48,15,0,0,0, , , , , , , , ,261,43.5
Damien Williams ,RB,KC,7,9,7,3,2,3,2,0,0, , , , , , , , ,33,4.1
Albert Wilson ,WR,MIA,34,29,10,37,58,50,14,0,0, , , , , , , , ,232,33.1
David Fluellen ,RB,TEN,0,0,0,0,0,0,3,bye,0, , , , , , , , ,3,0.6
Kapri Bibbs ,RB,WAS,0,0,0,bye,8,26,23,1,0, , , , , , , , ,58,14.5
Erik Swoope ,TE,IND,5,0,8,0,14,22,6,0,bye, , , , , , , , ,55,11.0
Ryan Hewitt ,RB,IND,0,17,16,14,16,12,26,21,bye, , , , , , , , ,122,17.4
Taylor Gabriel ,WR,CHI,60,63,55,48,bye,46,64,44,0, , , , , , , , ,380,54.3
Willie Snead ,WR,BAL,42,57,40,39,67,55,44,52,0, , , , , , , , ,396,49.5
Allen Hurns ,WR,DAL,38,27,39,47,38,57,54,bye,0, , , , , , , , ,300,42.9
Bennie Fowler ,WR,NYG,0,0,0,0,0,0,35,48,bye, , , , , , , , ,83,41.5
Dontrelle Inman ,WR,IND,0,0,0,0,0,0,42,58,bye, , , , , , , , ,100,50.0
Keith Smith ,RB,OAK,7,8,19,13,7,6,bye,11,0, , , , , , , , ,71,10.1
Adam Thielen ,WR,MIN,68,70,66,73,60,69,66,69,0, , , , , , , , ,541,67.6
Cameron Brate ,TE,TB,24,14,31,37,bye,22,39,26,0, , , , , , , , ,193,27.6
Roosevelt Nix ,RB,PIT,19,4,11,1,8,17,bye,10,0, , , , , , , , ,70,10.0
Josh Hill ,TE,NO,24,39,49,43,38,bye,44,34,0, , , , , , , , ,271,38.7
Darren Fells ,TE,CLE,39,25,30,39,19,19,24,25,0, , , , , , , , ,220,27.5
Scott Simonson ,TE,NYG,4,3,16,14,18,63,11,4,bye, , , , , , , , ,133,16.6
Seth Roberts ,WR,OAK,47,22,0,30,28,44,bye,30,0, , , , , , , , ,201,33.5
Marcus Mariota ,QB,TEN,36,0,53,71,54,44,71,bye,0, , , , , , , , ,329,54.8
Jameis Winston ,QB,TB,0,0,0,35,bye,66,95,63,0, , , , , , , , ,259,64.8
Amari Cooper ,WR,DAL,69,54,60,80,51,12,0,bye,0, , , , , , , , ,326,54.3
Devante Parker ,WR,MIA,0,0,33,0,0,4,0,66,0, , , , , , , , ,103,34.3
Kevin White ,WR,CHI,12,2,12,28,bye,16,20,29,0, , , , , , , , ,119,17.0
Melvin Gordon ,RB,LAC,62,36,40,49,45,38,0,bye,0, , , , , , , , ,270,45.0
Sammie Coates ,WR,HOU,6,0,0,28,0,1,0,0,0, , , , , , , , ,35,5.8
Todd Gurley ,RB,LAR,59,49,64,53,66,58,36,70,0, , , , , , , , ,455,56.9
Devin Funchess ,WR,CAR,57,66,52,bye,51,58,54,48,0, , , , , , , , ,386,55.1
Maxx Williams ,TE,BAL,44,28,37,40,27,34,20,0,0, , , , , , , , ,230,32.9
Ameer Abdullah ,RB,DET,0,0,0,0,0,bye,7,4,0, , , , , , , , ,11,3.7
Tevin Coleman ,RB,ATL,36,40,53,40,27,38,37,bye,0, , , , , , , , ,271,38.7
Sean Mannion ,QB,LAR,0,0,0,0,0,0,10,0,0, , , , , , , , ,10,10.0
Taylor Heinicke ,QB,CAR,0,0,0,bye,0,0,0,3,0, , , , , , , , ,3,3.0
Duke Johnson ,RB,CLE,41,23,29,29,41,35,35,23,0, , , , , , , , ,256,32.0
Jay Ajayi ,RB,PHI,29,22,0,40,29,0,0,0,bye, , , , , , , , ,120,30.0
T.J. Yeldon ,RB,JAC,39,41,38,48,77,31,56,37,bye, , , , , , , , ,367,45.9
Mike Davis ,RB,SEA,0,9,8,47,25,24,bye,20,0, , , , , , , , ,133,22.2
Javorius Allen ,RB,BAL,30,42,39,33,50,28,30,23,0, , , , , , , , ,275,34.4
David Johnson ,RB,ARI,36,35,43,55,48,55,48,53,bye, , , , , , , , ,373,46.6
Malcolm Brown ,RB,LAR,4,23,13,2,0,16,25,9,0, , , , , , , , ,92,11.5
Marcus Murphy ,RB,BUF,23,23,16,0,0,0,18,1,0, , , , , , , , ,81,16.2
Nick O'Leary ,TE,MIA,0,0,0,0,28,52,39,49,0, , , , , , , , ,168,42.0
Jesse James ,TE,PIT,69,45,33,27,36,51,bye,40,0, , , , , , , , ,301,43.0
Tyler Kroft ,TE,CIN,18,34,21,20,24,0,0,0,bye, , , , , , , , ,117,23.4
Jeff Heuerman ,TE,DEN,60,41,41,53,53,58,48,63,0, , , , , , , , ,417,52.1
Nick Boyle ,TE,BAL,54,43,38,55,39,48,32,31,0, , , , , , , , ,340,42.5
MyCole Pruitt ,TE,TEN,0,0,13,3,7,5,7,bye,0, , , , , , , , ,35,5.8
Blake Bell ,TE,JAC,0,0,0,0,0,0,22,32,bye, , , , , , , , ,54,27.0
Nelson Agholor ,WR,PHI,68,72,80,72,52,64,59,57,bye, , , , , , , , ,524,65.5
Justin Hardy ,WR,ATL,6,14,15,14,17,36,14,bye,0, , , , , , , , ,116,16.6
Tyler Lockett ,WR,SEA,56,60,61,62,52,51,bye,44,0, , , , , , , , ,386,55.1
Rashad Greene ,WR,JAC,0,0,0,0,0,0,18,11,bye, , , , , , , , ,29,14.5
Breshad Perriman ,WR,CLE,0,0,0,0,0,0,11,9,0, , , , , , , , ,20,10.0
Jamison Crowder ,WR,WAS,49,69,37,bye,52,0,0,0,0, , , , , , , , ,207,51.8
Ty Montgomery ,RB,BAL,23,26,20,20,29,26,0,6,0, , , , , , , , ,150,21.4
Phillip Dorsett ,WR,NE,57,55,45,57,42,3,8,5,0, , , , , , , , ,272,34.0
Stefon Diggs ,WR,MIN,61,62,57,63,53,63,63,64,0, , , , , , , , ,486,60.8
Chris Manhertz ,TE,CAR,34,13,39,bye,37,10,6,22,0, , , , , , , , ,161,23.0
A.J. Derby ,TE,MIA,46,34,14,0,0,0,0,0,0, , , , , , , , ,94,31.3
Matt Lengel ,TE,CIN,0,0,0,0,0,1,5,11,bye, , , , , , , , ,17,5.7
C.J. Uzomah ,TE,CIN,36,37,35,51,55,56,55,64,bye, , , , , , , , ,389,48.6
DeAndre Carter ,WR,PHI,53,19,0,0,0,2,3,6,bye, , , , , , , , ,83,11.9
Neal Sterling ,TE,NYJ,40,10,0,0,0,36,32,11,0, , , , , , , , ,129,25.8
